0000000000000000000000000000000000000000 eb048ae8681e2f0cfbd2f876cd0ec80ebb24bd0a andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742776497 +0000	commit (initial): Initial commit
eb048ae8681e2f0cfbd2f876cd0ec80ebb24bd0a 23906458723256e925c8bd5bb02f5118c910ddd4 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742776497 +0000	commit: Checkpoint after starting plan
23906458723256e925c8bd5bb02f5118c910ddd4 fc080941e7e0e5429bfacc3e069c11ea6101fc09 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742776949 +0000	commit: Implement initial UI for device inventory and alert management application using Shadcn UI components.
fc080941e7e0e5429bfacc3e069c11ea6101fc09 bc277d0b9363885fbae9758e8a6e262f3dd0cec7 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742777548 +0000	commit: Fix: Prevent form value resets in device and alert modals on navigation
bc277d0b9363885fbae9758e8a6e262f3dd0cec7 2f561b6eaffcef3d14a258a9f28e5ed4457d04bf andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742777621 +0000	commit: Fix: Handle device ID type in alert modal to prevent data reset on update.
2f561b6eaffcef3d14a258a9f28e5ed4457d04bf 9978ec4f46d45c345260bd90fe360cedc6138bad andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742777650 +0000	commit: Fix: Prevent device modal values from resetting on page transitions
9978ec4f46d45c345260bd90fe360cedc6138bad 004bec968b0889f6219f3007b1d27ffc1e5f5f04 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742778281 +0000	commit: Fix: Resolve alert form reset issue in alert modal
004bec968b0889f6219f3007b1d27ffc1e5f5f04 46b45fe8a96182b230c3010d7197e1df0c72679c andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742779062 +0000	commit: Fix: Preserve AlertModal values across page navigation by adding deviceId prop
46b45fe8a96182b230c3010d7197e1df0c72679c b714ec35a0f3cab2e758f5bab480a2d5d577a772 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742779231 +0000	commit: Checkpoint before revert - Build the initial prototype
b714ec35a0f3cab2e758f5bab480a2d5d577a772 bf73e5a9fdce58228dfc50edb52e36dfaa8ed62d andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742779232 +0000	reset: moving to bf73e5a9fdce58228dfc50edb52e36dfaa8ed62d
bf73e5a9fdce58228dfc50edb52e36dfaa8ed62d 7a30d520f6786719c2fec8b45a502c333f27446e andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742779373 +0000	commit: Checkpoint before revert - Build the initial prototype
7a30d520f6786719c2fec8b45a502c333f27446e 1f73cd22d6989993e816c7f1c1146588076385c0 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742779374 +0000	reset: moving to 1f73cd22d6989993e816c7f1c1146588076385c0
1f73cd22d6989993e816c7f1c1146588076385c0 a99d35dad876105333a043e5725be97a65ef3c8c andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742780543 +0000	commit: Fix: Resolve empty string value prop error in Select components within device modal and audit logs pages; update SelectItem values for improved functionality.
a99d35dad876105333a043e5725be97a65ef3c8c 585033b088acd321a10898cc5f724c93564132e3 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742780625 +0000	commit: Fix: Resolve Alerts and Audit Logs page loading issues by correcting filter default values and adding missing SelectItem values.
585033b088acd321a10898cc5f724c93564132e3 d4e3b79b20f4ddc465955a91f686cfb4020fb305 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742781020 +0000	commit: Document two manual test reports: one regarding device editing, and another concerning issues with the Alerts and Audit Logs pages; both issues are marked as fixed.
d4e3b79b20f4ddc465955a91f686cfb4020fb305 3fb1bfd9328fe7dabb5e5c889b6684e611a73eee andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742781100 +0000	commit: Fix: Address issues in alert and audit log pages; provide default device ID in alert modal.
3fb1bfd9328fe7dabb5e5c889b6684e611a73eee 0bc77472d55ea2cb8f037f3c7c87185525ba5b5b andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742781583 +0000	commit: Initial commit: Implement full-stack CRUD application for device inventory and alerts, including a dashboard, audit logging, and basic features. Adds `CHANGELOG.md` and `FEATURES.md` documenting progress.
0bc77472d55ea2cb8f037f3c7c87185525ba5b5b 298a21adb73839e32bbf145603457006142ab0fd andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742783612 +0000	commit: Update manual test reports with fix commit references for device editing and SelectItem/badge component issues.
298a21adb73839e32bbf145603457006142ab0fd a8a545bc81e9125b952c9a50f6badd4bfbcb02a8 andyydna2 <21701643-andyydna2@users.noreply.replit.com> 1742784275 +0000	commit: Update documentation to reflect bug fixes and feature changes (commit hashes added).
